Company Name
QNB
Qatar Islamic Bank
Comm. Bank of Qatar
Doha Bank
Ahli Bank
Intl. Islamic Bank
Rayan
Lesha Bank (QFC)
Dukhan Bank
National Leasing
Dlala
Qatar Oman
Inma
Zad Holding Company
Qatar German Co. Med
Salam International
Baladna
Medicare
Cinema
Qatar Fuel
Widam
Mannai Corp.
Al Meera
Mekdam
MEEZA QSTP
Faleh
QAMCO
Ind. Manf. Co.
National Cement Co.
Industries Qatar
The Investors
Electricity & Water
Aamal
Gulf International
Mesaieed
Estithmar Holding
Qatar Insurance
Doha Insurance Group
QLM
General Insurance
Alkhaleej Takaful
Islamic Insurance
Beema
United Dev. Company
Barwa
Ezdan Holding
Mazaya
Ooredoo
Vodafone Qatar
Qatar Navigation
Gulf warehousing Co
Nakilat
